Date,Total Number of Passengers Screened,,,,,,,,,
,Eight Largest Airports (note 1),,,,,Seventeen Largest Airports (note 2),,,,
,2023,2022,2021,2020,2019,2023,2022,2021,2020,2019
2023-01-01,"147,357.00","82,278.00","36,788.00","167,771.00","163,408.00","165,797.00","91,703.00","40,567.00","188,075.00","182,370.00"
2023-01-02,"156,934.00","79,100.00","27,425.00","157,641.00","144,461.00","178,235.00","88,616.00","31,085.00","173,503.00","160,526.00"
2023-01-03,"143,741.00","72,224.00","20,049.00","139,711.00","135,122.00","162,399.00","80,036.00","22,261.00","155,980.00","150,842.00"
2023-01-04,"141,105.00","70,459.00","21,979.00","136,000.00","134,642.00","156,873.00","78,078.00","24,217.00","150,524.00","149,677.00"
2023-01-05,"138,590.00","64,980.00","20,212.00","140,528.00","138,792.00","156,539.00","71,277.00","22,116.00","155,494.00","155,343.00"
2023-01-06,"138,528.00","62,229.00","21,085.00","147,064.00","144,526.00","156,540.00","69,229.00","23,176.00","162,765.00","161,604.00"
2023-01-07,"132,302.00","65,565.00","23,069.00","130,469.00","129,711.00","148,470.00","71,628.00","24,781.00","143,410.00","143,535.00"
2023-01-08,"143,884.00","66,149.00","26,519.00","141,314.00","142,380.00","162,152.00","73,014.00","29,051.00","155,385.00","158,025.00"
2023-01-09,"127,551.00","53,138.00","16,747.00","139,275.00","134,455.00","144,344.00","58,591.00","18,516.00","154,210.00","149,214.00"
2023-01-10,"108,322.00","42,419.00","11,658.00","123,221.00","127,668.00","120,516.00","46,796.00","13,063.00","136,831.00","143,389.00"
2023-01-11,"112,871.00","42,300.00","13,641.00","132,335.00","134,688.00","125,030.00","46,410.00","15,045.00","146,209.00","149,725.00"
2023-01-12,"121,447.00","43,034.00","15,169.00","144,061.00","141,897.00","136,976.00","47,741.00","16,646.00","160,996.00","158,504.00"
2023-01-13,"123,009.00","46,715.00","17,741.00","150,184.00","147,470.00","139,142.00","51,866.00","19,184.00","165,342.00","165,691.00"
2023-01-14,"116,876.00","47,661.00","17,871.00","123,170.00","123,090.00","129,270.00","51,617.00","19,115.00","134,405.00","136,508.00"
2023-01-15,"131,110.00","52,334.00","19,254.00","141,188.00","131,808.00","147,694.00","57,480.00","20,995.00","155,367.00","145,877.00"
2023-01-16,"124,170.00","33,584.00","13,634.00","144,580.00","148,867.00","139,962.00","37,305.00","15,184.00","158,357.00","164,130.00"
2023-01-17,"106,686.00","47,014.00","10,191.00","126,921.00","131,219.00","118,661.00","51,167.00","11,448.00","139,460.00","146,808.00"
2023-01-18,"110,142.00","39,654.00","12,503.00","132,757.00","131,367.00","122,686.00","42,785.00","13,943.00","147,253.00","146,052.00"
2023-01-19,"120,744.00","43,716.00","13,986.00","143,840.00","147,413.00","136,826.00","48,517.00","15,376.00","160,772.00","164,927.00"
2023-01-20,"131,106.00","46,110.00","15,658.00","151,462.00","154,204.00","147,850.00","51,100.00","16,990.00","167,707.00","173,001.00"
2023-01-21,"116,427.00","44,537.00","15,435.00","127,591.00","130,266.00","128,623.00","48,460.00","16,488.00","140,622.00","144,384.00"
2023-01-22,"130,791.00","48,211.00","17,739.00","142,395.00","145,042.00","147,373.00","53,067.00","19,482.00","158,592.00","161,803.00"
2023-01-23,"122,799.00","39,583.00","14,688.00","137,477.00","131,512.00","139,006.00","43,993.00","16,280.00","151,999.00","146,259.00"
2023-01-24,"106,085.00","34,263.00","9,302.00","125,166.00","129,139.00","118,165.00","37,763.00","10,657.00","138,827.00","143,918.00"
2023-01-25,"105,573.00","37,166.00","11,112.00","132,883.00","136,468.00","116,866.00","40,823.00","12,382.00","147,571.00","151,915.00"
2023-01-26,"125,236.00","44,799.00","12,381.00","145,507.00","148,342.00","141,825.00","49,139.00","13,720.00","162,118.00","166,121.00"
2023-01-27,"134,152.00","50,248.00","14,851.00","153,131.00","161,140.00","151,577.00","55,906.00","16,202.00","170,335.00","179,796.00"
2023-01-28,"120,371.00","46,770.00","14,187.00","133,219.00","138,753.00","133,415.00","51,275.00","15,189.00","146,543.00","152,996.00"
2023-01-29,"132,440.00","55,158.00","15,831.00","143,525.00","146,292.00","149,127.00","61,123.00","17,341.00","159,737.00","162,397.00"
2023-01-30,"122,670.00","46,626.00","12,795.00","142,300.00","148,787.00","139,061.00","51,894.00","14,277.00","157,432.00","164,243.00"
2023-01-31,"110,009.00","40,627.00","9,421.00","124,174.00","133,026.00","121,970.00","44,725.00","10,816.00","138,115.00","147,906.00"
2023-02-01,"117,100.00","41,270.00","11,320.00","132,191.00","132,242.00","129,919.00","45,557.00","12,596.00","146,529.00","146,792.00"
2023-02-02,"124,604.00","48,337.00","12,151.00","140,746.00","150,691.00","141,285.00","52,996.00","13,511.00","157,339.00","167,365.00"
2023-02-03,"136,721.00","53,331.00","13,055.00","146,964.00","159,709.00","153,820.00","58,920.00","14,268.00","162,289.00","178,547.00"
2023-02-04,"121,048.00","53,228.00","11,216.00","137,224.00","140,903.00","133,185.00","58,023.00","12,044.00","150,710.00","154,880.00"
2023-02-05,"138,435.00","57,140.00","12,699.00","148,503.00","154,437.00","156,493.00","63,058.00","14,185.00","165,807.00","171,113.00"
2023-02-06,"126,572.00","47,939.00","11,151.00","143,688.00","153,592.00","143,402.00","53,317.00","12,384.00","158,604.00","169,305.00"
2023-02-07,"109,254.00","40,576.00","9,072.00","130,894.00","129,178.00","122,012.00","44,591.00","10,269.00","145,226.00","142,282.00"
2023-02-08,"115,611.00","43,944.00","10,997.00","143,114.00","48,685.00","128,762.00","48,360.00","12,304.00","158,486.00","53,645.00"
2023-02-09,"125,202.00","56,933.00","11,984.00","157,262.00","157,836.00","142,148.00","62,557.00","13,534.00","175,969.00","175,532.00"
2023-02-10,"139,355.00","64,134.00","15,653.00","171,166.00","179,955.00","157,574.00","70,773.00","17,400.00","192,461.00","201,502.00"
2023-02-11,"124,246.00","60,229.00","11,469.00","147,480.00","154,961.00","137,970.00","65,800.00","12,670.00","163,928.00","171,746.00"
2023-02-12,"135,624.00","62,946.00","12,332.00","146,627.00","154,786.00","153,232.00","69,330.00","13,701.00","163,746.00","171,322.00"
2023-02-13,"127,366.00","53,296.00","14,661.00","155,728.00","160,932.00","144,575.00","59,023.00","16,615.00","174,062.00","178,128.00"
2023-02-14,"114,749.00","52,707.00","10,900.00","142,005.00","153,354.00","126,838.00","57,884.00","12,516.00","158,455.00","169,677.00"
2023-02-15,"134,310.00","58,153.00","11,502.00","142,817.00","143,638.00","148,912.00","64,045.00","12,741.00","158,627.00","159,413.00"
2023-02-16,"146,558.00","74,343.00","11,365.00","151,763.00","160,761.00","167,127.00","81,406.00","12,584.00","169,250.00","178,209.00"
2023-02-17,"162,149.00","88,132.00","13,739.00","160,487.00","170,169.00","184,213.00","97,820.00","15,134.00","177,611.00","189,374.00"
2023-02-18,"148,848.00","81,085.00","11,205.00","142,957.00","151,321.00","165,338.00","89,382.00","12,291.00","157,120.00","167,134.00"
2023-02-19,"150,905.00","78,681.00","14,120.00","154,995.00","159,557.00","169,209.00","86,386.00","15,936.00","173,505.00","177,719.00"
2023-02-20,"149,407.00","77,140.00","10,738.00","149,861.00","156,996.00","169,312.00","86,194.00","12,139.00","166,061.00","173,891.00"
2023-02-21,"137,212.00","64,375.00","7,525.00","135,548.00","145,067.00","153,404.00","70,892.00","8,736.00","149,788.00","161,152.00"
2023-02-22,"130,123.00","64,157.00","9,840.00","139,321.00","147,168.00","143,936.00","70,596.00","10,898.00","153,711.00","163,237.00"
2023-02-23,"137,970.00","79,529.00","10,049.00","145,417.00","167,710.00","155,346.00","86,984.00","11,381.00","160,956.00","186,499.00"
2023-02-24,"159,207.00","86,399.00","13,970.00","171,057.00","175,216.00","178,698.00","95,333.00","15,448.00","188,709.00","194,142.00"
2023-02-25,"137,671.00","88,911.00","10,179.00","146,276.00","152,293.00","151,742.00","96,283.00","11,146.00","160,617.00","167,381.00"
2023-02-26,"157,040.00","93,587.00","13,838.00","153,838.00","163,733.00","176,839.00","102,587.00","15,694.00","171,522.00","180,571.00"
2023-02-27,"142,534.00","77,893.00","13,028.00","142,440.00","155,017.00","160,998.00","85,802.00","14,588.00","156,687.00","170,585.00"
2023-02-28,"132,080.00","69,037.00","9,276.00","124,754.00","148,162.00","146,752.00","75,299.00","10,568.00","138,206.00","163,267.00"
2023-03-01,"137,540.00","68,258.00","11,197.00","131,309.00","151,746.00","152,690.00","74,489.00","12,537.00","146,311.00","168,111.00"
2023-03-02,"139,378.00","80,174.00","11,638.00","135,386.00","160,585.00","157,672.00","87,963.00","12,921.00","151,142.00","178,111.00"
2023-03-03,"139,820.00","88,626.00","14,619.00","144,218.00","170,048.00","156,888.00","98,264.00","15,912.00","160,036.00","188,729.00"
2023-03-04,"128,173.00","83,947.00","9,794.00","123,513.00","152,795.00","142,567.00","91,521.00","10,722.00","136,103.00","168,053.00"
2023-03-05,"155,337.00","90,781.00","12,763.00","132,440.00","163,467.00","174,201.00","99,918.00","14,470.00","149,156.00","181,737.00"
2023-03-06,"142,645.00","75,673.00","12,157.00","124,698.00","157,824.00","160,395.00","83,344.00","13,672.00","139,184.00","174,642.00"
2023-03-07,"127,720.00","67,820.00","8,956.00","113,982.00","142,069.00","142,235.00","74,616.00","10,203.00","126,397.00","157,134.00"
2023-03-08,"138,319.00","77,029.00","11,097.00","121,855.00","145,594.00","153,614.00","83,947.00","12,332.00","135,284.00","162,249.00"
2023-03-09,"144,565.00","90,760.00","11,430.00","118,461.00","152,573.00","162,389.00","98,559.00","12,774.00","132,456.00","171,002.00"
2023-03-10,"154,951.00","101,307.00","14,834.00","102,056.00","162,230.00","173,599.00","110,024.00","16,417.00","112,650.00","182,003.00"
2023-03-11,"145,861.00","96,301.00","10,102.00","72,633.00","145,427.00","159,373.00","103,107.00","11,106.00","79,123.00","161,969.00"
2023-03-12,"155,505.00","104,644.00","13,255.00","67,870.00","157,035.00","175,122.00","113,046.00","15,123.00","75,440.00","175,379.00"
2023-03-13,"148,177.00","88,072.00","12,714.00","59,447.00","149,385.00","166,744.00","96,451.00","14,404.00","65,581.00","167,154.00"
2023-03-14,"131,762.00","79,143.00","9,727.00","49,323.00","138,625.00","146,713.00","85,898.00","10,993.00","54,295.00","154,914.00"
2023-03-15,"133,122.00","77,988.00","11,510.00","47,446.00","144,111.00","149,233.00","85,266.00","12,808.00","52,446.00","160,539.00"
2023-03-16,"135,606.00","89,882.00","12,283.00","38,934.00","151,291.00","154,344.00","99,150.00","13,758.00","42,689.00","169,450.00"
