Year,Total ,Ontario,Other Canada,US,Overseas
1998,"129,646","91,718","5,532","30,214","2,181"
1999,"132,496","94,522","5,719","30,082","2,174"
2000,"133,081","95,756","5,792","29,108","2,424"
2001,"131,940","95,757","5,853","28,153","2,176"
2002,"132,328","97,982","5,947","26,344","2,054"
2003,"120,314","91,207","5,489","22,012","1,606"
2004,"129,607","100,120","5,963","21,412","2,112"
2005,"131,159","103,424","6,158","19,348","2,229"
2006,"131,867","105,722","6,426","17,445","2,274"
2007,"133,571","109,589","6,670","15,069","2,243"
2008,"130,861","108,951","6,475","13,195","2,240"
2009,"134,071","113,915","6,587","11,600","1,968"
2010,"136,952","116,343","6,842","11,711","2,055"
2011,"138,962","118,261","7,050","11,476","2,174"
2012,"141,178","120,574","6,717","11,691","2,196"
2013,"140,846","122,082","6,152","10,616","1,996"
2014,"139,505","120,670","6,053","10,416","2,366"
2015,"141,902","121,388","6,530","11,419","2,565"
2016,"144,134","121,845","7,135","12,414","2,741"
2017,"142,873","120,209","7,397","12,302","2,966"
2018,"131,758","109,032","6,993","12,554","3,180"
2019,"131,839","108,053","7,214","12,915","3,656"
2020,"78,190","72,642","2,916","2,129",504
2021,"79,190","73,388","3,516","1,816",470
,,,,,
,,,,,
Source: Statistics Canada: ,,,,,
  • National Travel Survey (Travel Survey of Residents of Canada from 2005-2017; Canadian Travel Survey prior to 2005),,,,,
  • Visitor Travel Survey (International Travel Survey prior to 2018),,,,,
,,,,,
Note: ,,,,,
"Due to a change in methodology, data for 2018 are not comparable to previous years",,,,,
"Due to the impact of the COVID-19 pandemic on Statistics Canada's travel survey collection operations, data for 2020 and 2021 include travel estimates produced by Statistics Canada. It is recommended that users interpret data for 2020 and 2021 with caution.",,,,,
