Restaurant ID,Location,Restaurant Name,Postal Code,Restaurant Address,Lat,Lng
0,Toronto Distillery District,Archeo Trattoria,M5A 3C4,"31 Trinity Street, Old Toronto, ON M5A 3C4, Canada",43.65068200054068,-79.3596299
1,Toronto Distillery District,El Catrin,M5A 3C4,"Mill Street, Old Toronto, ON M5A 3C4, Canada",43.65069270054068,-79.35924499999999
2,Toronto Distillery District,Oyster House & grill,M5A 3C4,"Tank House Lane, Old Toronto, ON M5A 3C4, Canada",43.65034980054068,-79.358811
3,Toronto Distillery District,Pure Spirits,M5A 3C4,"17 Tank House Lane, Old Toronto, ON M5A 3C4, Canada",43.65039450054068,-79.3587541
4,Toronto Distillery District,The Fermenting Cellar,M5A 3C4,"28 Distillery Lane, Old Toronto, ON M5A 3C4, Canada",43.64980610054069,-79.36053809999999
5,Toronto Distillery District,Cluny,M5A 3C4,"Tank House Lane, Old Toronto, ON M5A 3C4, Canada",43.65060410054069,-79.35786509999998
6,Toronto Distillery District,Mom and Pops,M5A 4J5,"262 The Esplanade, Old Toronto, ON M5A 4J5, Canada",43.650014000540686,-79.3638501
7,Toronto Distillery District,Gilead Café + Wine Bar,M5A 3C9,"4 Gilead Place, Old Toronto, ON M5A 3C9, Canada",43.653558200540644,-79.3609455
8,Toronto Distillery District,Freshii,M5A 1L1,"351 King Street East, Old Toronto, ON M5A 1L1, Canada",43.65129990054067,-79.36443359999998
9,Toronto Distillery District,The Corktown Kitchen,M5A 1L3,"King Street East, Old Toronto, ON M5A 1L3, Canada",43.653421700540655,-79.3622858
10,Toronto Distillery District,King Deli-Cafe,M5A 1M3,"King Street East, Old Toronto, ON M5A 1M3, Canada",43.65399610054064,-79.36078639999998
11,Toronto Distillery District,The Keating Channel Pub & Grill,M4M 3P2,"2 Villiers Street, Old Toronto, ON M4M 3P2, Canada",43.64763710054072,-79.3533929
12,Toronto Distillery District,Mangia & Bevi,M5A 4L5,"260 King Street East, Old Toronto, ON M5A 4L5, Canada",43.652245200540655,-79.3664233
13,Toronto Distillery District,Bodega Henriette,M5A 1K2,"234 King Street East, Old Toronto, ON M5A 1K2, Canada",43.651495200540666,-79.367765
14,Toronto Distillery District,Mavericks Burger Co,M5A 0L1,"15 Merchant's Wharf, Old Toronto, ON M5A 0L1, Canada",43.64521040054076,-79.3643126
15,Toronto Distillery District,On the Rocks,M5A 3Z4,"Front Street East, Old Toronto, ON M5A 3Z4, Canada",43.65017400054068,-79.368189
16,Toronto Distillery District,Ardo,M5A 1J7,"King Street East, Old Toronto, ON M5A 1J7, Canada",43.65109340054067,-79.3684798
17,Toronto Distillery District,Figs Breakfast & Lunch,M5A 1T2,"Parliament Street, Old Toronto, ON M5A 1T2, Canada",43.65583730054061,-79.3647018
18,Toronto Distillery District,Bellissimo,M5A 4A5,"The Esplanade, Old Toronto, ON M5A 4A5, Canada",43.6488421005407,-79.3687241
19,Toronto Distillery District,Patrician Grill,M5A 1J7,"219 King Street East, Old Toronto, ON M5A 1J7, Canada",43.65096670054068,-79.36909969999999
20,Toronto Distillery District,Fusilli Ristorante,M5A 1V1,"531 Queen Street East, Old Toronto, ON M5A 1V1, Canada",43.65707529362259,-79.35715024695314
21,Toronto Distillery District,The Chef's House,M5A 1J7,"King Street East, Old Toronto, ON M5A 1J7, Canada",43.65092780054068,-79.36924119999999
22,Toronto Distillery District,Cherry Street Bar-B-Que,M5A 4T8,"275 Cherry Street, Old Toronto, ON M5A 4T8, Canada",43.645581511529805,-79.35232181666488
23,Toronto Distillery District,Hotspot Cafe,M5A 4M5,"King Street East, Old Toronto, ON M5A 4M5, Canada",43.65080160054067,-79.36979020000001
24,Toronto Distillery District,Petit Dejeuner,M5A 1J5,"191 King Street East, Old Toronto, ON M5A 1J5, Canada",43.65069450054067,-79.369943
25,Toronto Distillery District,Gabby's,M5A 1J5,"189 King Street East, Old Toronto, ON M5A 1J5, Canada",43.650717400540664,-79.37014629999999
26,Toronto Distillery District,Farm’r,M5A 4P5,"140A The Esplanade, Old Toronto, ON M5A 4P5, Canada",43.6484968005407,-79.3702374
27,Toronto Distillery District,Cora,M5A 4S5,"106 Front Street East, Old Toronto, ON M5A 4S5, Canada",43.65012100054069,-79.3706647
